filename,content,type
speaker00028_M_s1_stn00125.lab,女儿想得周到,Sentence
speaker00028_M_s3_stn00087.lab,一九八七年八月十七日,Sentence
speaker00028_M_s2_stn00011.lab,用农民的一句话来描述这个决策,Sentence
speaker00028_M_s2_stn00132.lab,巴恩赫满达赫当选为新的书记,Sentence
speaker00028_M_s3_stn00012.lab,形成了一个较为完整的理论轮廓,Sentence
speaker00028_M_s3_stn00109.lab,从未想过要带一个自己人过来,Sentence
speaker00028_M_s1_stn00124.lab,终于圆满地完成了实地拍外景的艰巨任务,Sentence
speaker00028_M_s1_stn00043.lab,夸（kua）,Monosyllables
speaker00028_M_s2_stn00039.lab,表演艺术家李默然王仁激动地说,Sentence
speaker00028_M_s1_stn00006.lab,e（鹅）,Monophthong
speaker00028_M_s3_stn00031.lab,自己买菜垒灶做饭,Sentence
speaker00028_M_s3_stn00143.lab,价格应能反映出资源的稀缺程度,Sentence
speaker00028_M_s2_stn00043.lab,主要是建国以后的历史,Sentence
speaker00028_M_s2_stn00125.lab,厂技协就此组织技术工人展开讨论,Sentence
speaker00028_M_s3_stn00053.lab,披灯挂彩的建筑宛似一座水晶宫,Sentence
speaker00028_M_s1_stn00049.lab,括（kuo）,Monosyllables
speaker00028_M_s1_stn00044.lab,块（kuai）,Monosyllables
speaker00028_M_s3_stn00126.lab,只见高大的云松下站着一个俊俏的姑娘,Sentence
speaker00028_M_s2_stn00001.lab,（做吞咽动作）,Swallowing
speaker00028_M_s1_stn00022.lab,尅（kei）,Monosyllables
speaker00028_M_s1_stn00021.lab,v（淤）,Monophthong
speaker00028_M_s1_stn00144.lab,（做吞咽动作）,Swallowing
speaker00028_M_s3_stn00057.lab,他为此成为远近闻名的蘑菇大王,Sentence
speaker00028_M_s1_stn00055.lab,空（kong）,Monosyllables
speaker00028_M_s3_stn00085.lab,这是一片富饶美丽的海域,Sentence
speaker00028_M_s2_stn00120.lab,即能与癌细胞的两种受体相结合,Sentence
speaker00028_M_s1_stn00083.lab,他告诉阿莱尔,Sentence
speaker00028_M_s3_stn00013.lab,为森林资源利用开辟了广阔的天地,Sentence
speaker00028_M_s1_stn00035.lab,啦（la）,Monosyllables
speaker00028_M_s2_stn00146.lab,并制定了严格的收费纪律和管理制度,Sentence
speaker00028_M_s1_stn00059.lab,块（kuai）,Monosyllables
speaker00028_M_s1_stn00060.lab,款（kuan）,Monosyllables
speaker00028_M_s1_stn00135.lab,竞相压价的窘态,Sentence
speaker00028_M_s1_stn00019.lab,i（衣）,Monophthong
speaker00028_M_s2_stn00124.lab,一旦驾驶者重新加油,Sentence
speaker00028_M_s1_stn00101.lab,如果说我能学到一些工业经济方面的知识,Sentence
speaker00028_M_s3_stn00138.lab,拉木鼓活动庄严而又热烈,Sentence
speaker00028_M_s3_stn00038.lab,在俄从车臣撤军的二天,Sentence
speaker00028_M_s2_stn00063.lab,将于五年之内退出职业网球,Sentence
speaker00028_M_s1_stn00108.lab,文革的沉痛教训,Sentence
speaker00028_M_s1_stn00040.lab,空（kong）,Monosyllables
speaker00028_M_s3_stn00072.lab,直接用于奥运会组织工作的费用三十三亿马克,Sentence
speaker00028_M_s3_stn00094.lab,什么事都有个度,Sentence
speaker00028_M_s1_stn00139.lab,只要宏观上大体控制住,Sentence
speaker00028_M_s1_stn00002.lab,（做吞咽动作）,Swallowing
speaker00028_M_s2_stn00097.lab,也迫切要求改革的全局性整体推进,Sentence
speaker00028_M_s1_stn00130.lab,计划与市场的关系问题如何解决解决得好,Sentence
speaker00028_M_s3_stn00154.lab,（做吞咽动作）,Swallowing
speaker00028_M_s3_stn00070.lab,调集精兵强将安装调试,Sentence
speaker00028_M_s1_stn00092.lab,该集团董事长及首席执行官丹尼尔爱德曼认为,Sentence
speaker00028_M_s1_stn00122.lab,尤其是少数民族专业人员更是凤毛麟角,Sentence
speaker00028_M_s2_stn00067.lab,邓小平同志最后说,Sentence
speaker00028_M_s2_stn00143.lab,与他担任总统的年薪二十万美元相差无几,Sentence
speaker00028_M_s3_stn00022.lab,这需要巨大的计算能力,Sentence
speaker00028_M_s3_stn00055.lab,促成有关国家尽早批准欧洲经济区协议,Sentence
speaker00028_M_s3_stn00075.lab,而中国劳务成本低廉,Sentence
speaker00028_M_s1_stn00076.lab,向总统通报了阿最新局势,Sentence
speaker00028_M_s1_stn00052.lab,尅（kei）,Monosyllables
speaker00028_M_s1_stn00003.lab,（做吞咽动作）,Swallowing
speaker00028_M_s1_stn00119.lab,实则暗藏杀机,Sentence
speaker00028_M_s2_stn00084.lab,从全国第一个文明礼貌月开始,Sentence
speaker00028_M_s3_stn00153.lab,把好事办成办好全民吃碘盐,Sentence
speaker00028_M_s3_stn00020.lab,纠缠一团的十多条毒蛇立即滚出来,Sentence
speaker00028_M_s2_stn00049.lab,考虑日本防卫力量应有的状况,Sentence
speaker00028_M_s2_stn00122.lab,把港澳同胞捐赠款物的一半用于教育,Sentence
